status,city,year,state,total_tract_income,total_households_with_income,percent_householdsbelow50k_of_total,total_households_income_below_50k,total_households_income_50k_and_100k,total_households_income_100k_plus,bucket_annual_income_household,median_annual_income_individual,total_housing_units,occupied_housing_units,vacant_housing_units,median_monthly_housing_costs,total_households,total_rent_burden_normal,total_rent_burden_moderate,total_rent_burden_severe,percent_rent_burden_normal,percent_rent_burden_moderate,percent_rent_burden_severe,median_gross_rent_burden,avg_household_size,total_population,total_25_and_older,total_highest_not_graduate_hs,total_highest_graduate_hs,total_highest_college_degree,percent_graduate_hs,percent_no_college_degree,percent_college_degree,total_3_to_24,total_enrolled_pre_college,total_enrolled_higher_education,total_not_enrolled,total_employable,total_employed,complete_plumbing_occupied_housing,lacking_plumbing_occupied_housing,total_all_races,total_white_non_hispanic,total_african_american,total_native_american,total_asian,total_hispanic,total_other,percent_african_american,percent_native_american,percent_hispanic,percent_urm,total_all_ages,total_0_4,total_5_17,total_18_24,total_25_39,total_40_54,total_55_64,total_65_plus,percent_0_4,percent_5_17,percent_18_24,percent_children,percent_youth,percent_elderly
banked,Metairie,2019,LA,5210154200,60194,42.4361232,25544,17547,17103,2926276,1528147,65061,60194,4867,44763,23663,10734,5998,5214,45.36195749,25.34758906,,1264.3,104.4,142852,105989,9542,51968,44479,90.99717895,58.03432432,41.96567568,31864,21541,3738,6585,118207,77458,60053,141,142852,98716,14724,350,5639,16973,6450,10.30717106,0.2450088203,11.88152773,22.43370761,142852,8569,18917,9377,31603,26448,19757,28181,5.998515947,13.24237673,6.564136309,19.24089267,25.80502898,19.72741019
banked,Milwaukee,2019,WI,14182474700,232598,57.42267775,133564,64957,34077,8918708,5371491,261302,232598,28704,193427,135745,60121,30684,36918,44.28966076,22.60414748,,7045.5,541.4,600677,373900,59543,194376,119981,84.07515378,67.91093875,32.08906125,200381,123170,30667,46544,461282,297851,231175,1423,600677,213060,231236,3596,25647,55467,71671,38.49589713,0.5986578477,9.234080879,48.32863586,600677,44492,110812,71473,143784,101997,64351,63768,7.406975796,18.44785134,11.89874092,25.85482714,37.75356806,10.61602159
banked,Minneapolis,2019,MN,31907259900,320087,36.50944899,116862,94118,109107,14910911,7986204,337277,320087,17190,260201,137257,71423,30296,30870,52.03596174,22.07246261,,5823.9,494.98,772533,530868,42808,186045,302015,91.9362252,43.10920982,56.89079018,211357,127135,39248,44974,625697,456094,319234,853,772533,493965,123952,7602,56097,26347,64570,16.04488093,0.9840356334,3.410469197,20.43938576,772533,49648,112809,79208,205850,136554,89108,99356,6.42665103,14.602483,10.25302479,21.02913403,31.28215882,12.86106872
banked,Morgan Hill,2019,CA,2747860400,17019,18.8612727,3210,3888,9921,1314187,517835,17520,17019,501,25489,4388,2207,953,1030,50.29626253,21.7183227,,318.4,33.05,51712,34791,2942,13713,18136,91.54379006,47.87157598,52.12842402,15012,11130,1919,1963,40222,26362,16953,66,51712,24756,889,188,6963,13494,5422,1.719136757,0.3635519802,26.09452351,28.17721225,51712,3376,9741,3804,9079,11031,7077,7604,6.528465347,18.83702042,7.356126238,25.36548577,32.721612,14.70451733
banked,Mountain View,2019,CA,5833539800,30154,19.27107515,5811,4814,19529,2457536,1282357,32473,30154,2319,45711,17975,10820,3326,3343,60.19471488,18.50347705,,446,43.13,73491,53129,3771,10330,39028,92.90218148,26.54106044,73.45893956,17103,11108,2352,3643,59888,44210,30081,73,73491,32032,1543,324,23208,7532,8852,2.099576819,0.4408703107,10.24887401,12.78932114,73491,4891,9837,5634,23812,14520,6802,7995,6.655236696,13.38531249,7.666244846,20.04054918,27.70679403,10.87888313
banked,Naperville,2019,IL,8728599400,56319,16.93211882,9536,12898,33885,4177107,1765030,59238,56319,2919,65385,13423,7436,2970,2358,55.39745213,22.1262013,,882.5,92.47,159714,106329,3394,25347,77588,96.80802039,27.03025515,72.96974485,48176,34246,7281,6649,125280,86481,56219,100,159714,107679,7839,267,29590,8332,6007,4.908148315,0.1671738232,5.216825075,10.29214721,159714,9268,30589,13528,27820,36735,21583,20191,5.802872635,19.15235984,8.470140376,24.95523248,33.42537285,12.64197253
banked,Nashua,2019,NH,3538737600,36534,33.7877046,12344,11357,12833,1361310,667445,37933,36534,1399,26043,16506,8590,3923,3569,52.04168181,23.76711499,,555.1,42.43,88815,63696,5805,28740,29151,90.88639789,54.23417483,45.76582517,22184,13904,2755,5525,73608,51675,36477,57,88815,65040,3628,114,7421,8332,4280,4.084895569,0.1283566965,9.381298204,13.59455047,88815,4664,12649,7806,19696,17252,12771,13977,5.251365197,14.24196363,8.789055903,19.49332883,28.28238473,15.73720655
banked,New Braunfels,2019,TX,4093514400,40475,31.85917233,12895,13439,14141,1375832,659747,45141,40475,4666,22305,12352,6705,3086,2138,54.28270725,24.98380829,,489,50.29,113888,76390,6763,37533,32094,91.14674696,57.98664747,42.01335253,33042,22002,2580,8460,88535,57049,40252,223,113888,72915,2273,299,1282,31075,6044,1.995820455,0.2625386344,27.28557881,29.5439379,113888,7983,20316,9199,21764,22989,14289,17348,7.009518123,17.83857825,8.077233774,24.84809638,32.92533015,15.23250913
banked,North Kansas City,2019,MO,197608000,2844,61.91983122,1761,742,341,42386,30134,3437,2844,593,892,2245,1077,756,386,47.97327394,,,30.4,1.78,5058,3896,338,2314,1244,91.32443532,68.0698152,31.9301848,1030,449,103,478,4484,3106,2844,0,5058,3818,301,32,234,399,274,5.950968762,0.6326611309,7.888493476,14.47212337,5058,167,418,577,1459,819,588,1030,3.301700277,8.264136022,11.40767102,11.5658363,22.97350732,20.36378015
banked,Oakdale,2019,CA,1136404800,11614,36.61959704,4253,3018,4343,393147,166433,12234,11614,620,7013,4090,1889,1176,659,46.18581907,,,131.6,14.19,33451,21875,3019,12030,6826,86.19885714,68.79542857,31.20457143,10142,6553,1076,2513,25931,15557,11603,11,33451,21448,77,148,742,7500,3536,0.2301874383,0.4424381932,22.42085438,23.09348002,33451,2244,6366,2966,5788,6828,4299,4960,6.708319632,19.0308212,8.866700547,25.73914083,34.60584138,14.82765837
banked,Omaha,2019,NE,19804887300,221423,38.00960153,84162,71169,66092,10705951,5645649,237192,221423,15769,179659,84423,43431,19620,17171,51.44451157,,,4413.6,400.17,570004,370158,34128,159550,176480,90.78015334,52.32306204,47.67693796,173609,113052,22817,37740,437401,313268,220884,539,570004,397433,61978,3256,21954,54843,30540,10.87325703,0.5712240616,9.621511428,21.06599252,570004,43303,104714,51829,132015,102487,65555,70101,7.596964232,18.37074828,9.092743209,25.96771251,35.06045572,12.29833475
banked,Orinda,2019,CA,1922672800,6457,11.4294564,738,567,5152,897908,355745,6871,6457,414,14004,693,389,192,82,56.13275613,,,112.2,11.08,17710,12975,236,1551,11188,98.18111753,13.77263969,86.22736031,4364,3699,374,291,14339,8556,6450,7,17710,12893,273,0,2700,734,1110,1.541501976,0,4.144551101,5.686053077,17710,786,3221,728,1826,4135,2757,4257,4.438170525,18.18746471,4.110671937,22.62563523,26.73630717,24.03726708
banked,Orlando,2019,FL,25730750800,313937,45.98565954,144366,100275,69296,8128540,4067144,370343,313937,56406,174150,156265,64562,43526,41332,41.31571369,,,4970.2,411.55,921748,614438,74706,272936,266796,87.8415723,56.57885743,43.42114257,274064,159041,57079,57944,744594,500913,313240,697,921748,322400,211572,2026,49286,239230,97234,22.95334517,0.2197997717,25.95394837,49.12709331,921748,57071,142408,107831,233374,179201,99497,102366,6.191605515,15.44977586,11.69853366,21.64138138,33.33991503,11.10563842
banked,Palo Alto,2019,CA,6063893000,27955,20.70470399,5788,5128,17039,2403169,1156920,30025,27955,2070,40093,14290,7398,3143,2974,51.77046886,,,389.5,41.26,72527,49935,2981,6571,40383,94.03023931,19.12886753,80.87113247,19858,15132,2219,2507,56772,36267,27858,97,72527,35238,1610,117,22228,5734,7600,2.219862948,0.1613192328,7.906021206,10.28720339,72527,4528,13376,4688,14697,15614,7879,11745,6.24319219,18.44278682,6.463799688,24.68597901,31.1497787,16.19396914
banked,Pittsburgh,2019,PA,23833295100,280025,43.3914829,121507,81058,77460,13042801,7331738,311743,280025,31718,210294,115994,60877,22458,26633,52.48288705,,,6233.7,465.83,621613,443878,25231,176827,241820,94.31578046,45.5210666,54.4789334,158734,86249,40987,31498,524937,341814,279066,959,621613,457277,100123,786,29992,11008,22427,16.10696687,0.126445232,1.770876735,18.00428884,621613,30965,77617,69153,150992,101328,84081,107477,4.981395177,12.48638622,11.12476734,17.4677814,28.59254874,17.29001807
banked,Pleasant Hill,2019,CA,1929922300,12846,18.16129534,2333,2621,7892,769695,339148,13350,12846,504,13531,3415,1814,763,685,53.11859444,,,181.8,15.33,32996,24618,774,8093,15751,96.85595905,36.01836055,63.98163945,7286,5009,1098,1179,27490,18280,12667,179,32996,21835,953,63,3367,3194,3584,2.888228876,0.1909322342,9.679961207,12.75912232,32996,1944,4314,2120,6730,6619,5172,6097,5.891623227,13.07431204,6.425021215,18.96593526,25.39095648,18.47799733
banked,Portland,2019,OR,33438086200,324363,35.39121293,114796,92993,116574,13031604,6510952,345486,324363,21123,246983,146498,70389,33490,35953,48.04775492,,,5099.9,396.53,789350,579927,44252,203942,331733,92.36938442,42.79745554,57.20254446,184905,118161,27609,39135,655965,458424,322345,2018,789350,550032,41696,5963,70054,60122,61483,5.282320897,0.7554316843,7.616646608,13.65439919,789350,42113,106385,60925,221274,164020,91476,103157,5.335149173,13.47754482,7.718375879,18.81269399,26.53106987,13.06860075
banked,Potomac,2019,MD,1495075000,5501,4.999091074,275,601,4625,668126,271078,5591,5501,90,9280,200,60,47,46,30,,,56,8.84,16468,11727,363,1270,10094,96.90457918,13.92513004,86.07486996,4502,3750,507,245,13297,8491,5501,0,16468,9964,685,9,4279,944,587,4.15958222,0.05465144523,5.732329366,9.946563031,16468,560,3320,861,1362,3851,2353,4161,3.40053437,20.16031091,5.228321593,23.56084528,28.78916687,25.26718484
banked,Reno,2019,NV,11371267200,125055,39.35148535,49211,39431,36413,4897683,2538100,133304,125055,8249,86699,55657,28927,13725,10847,51.97369603,,,1903.8,172.49,306478,211691,21566,100411,89714,89.81250974,57.62030507,42.37969493,84004,49965,14305,19734,248762,166053,124621,434,306478,197119,7485,4436,17848,40609,38981,2.442263392,1.447412212,13.25021698,17.13989259,306478,18329,46573,29885,66556,55531,40681,48923,5.98052715,15.19619679,9.751107747,21.17672394,30.92783169,15.96297287
banked,Rexburg,2019,ID,495622200,9262,63.04253941,5839,2334,1089,210512,73031,12062,9262,2800,4040,5593,1715,1641,2136,30.66332916,,,173.7,19.22,32569,13297,594,5933,6770,95.53282695,49.08626006,50.91373994,17098,6072,7703,3323,24954,16735,9247,15,32569,28726,65,6,610,1285,1877,0.1995762842,0.01842242623,3.945469618,4.163468329,32569,3144,5333,10795,6633,2698,1961,2005,9.653351346,16.37446652,33.1450152,26.02781786,59.17283306,6.156160766
banked,Richfield,2019,UT,187036400,2932,52.79672578,1548,912,472,94024,43700,3210,2932,278,1537,959,533,233,118,55.57872784,,,56.5,5.8,8779,5176,438,3081,1657,91.53786708,67.98686244,32.01313756,3067,2283,118,666,6159,3697,2932,0,8779,8005,97,267,5,258,147,1.104909443,3.041348673,2.938831302,7.085089418,8779,782,2069,752,1898,1227,912,1139,8.907620458,23.56760451,8.565895888,32.47522497,41.04112086,12.97414284
banked,Richland Hills,2019,TX,244399100,3154,38.3005707,1208,1172,774,125385,64247,3430,3154,276,1948,1016,560,217,211,55.11811024,,,55.2,5.47,8803,6007,801,3506,1700,86.66555685,71.6996837,28.3003163,2471,1736,153,582,6897,4260,3092,62,8803,4916,240,119,278,1807,1443,2.726343292,1.351811882,20.52709304,24.60524821,8803,585,1542,669,1646,1680,1168,1513,6.645461774,17.51675565,7.599681927,24.16221743,31.76189935,17.1873225
