status,city,year,state,total_tract_income,total_households_with_income,percent_householdsbelow50k_of_total,total_households_income_below_50k,total_households_income_50k_and_100k,total_households_income_100k_plus,bucket_annual_income_household,median_annual_income_individual,total_housing_units,occupied_housing_units,vacant_housing_units,median_monthly_housing_costs,total_households,total_rent_burden_normal,total_rent_burden_moderate,total_rent_burden_severe,percent_rent_burden_normal,percent_rent_burden_moderate,percent_rent_burden_severe,median_gross_rent_burden,avg_household_size,total_population,total_25_and_older,total_highest_not_graduate_hs,total_highest_graduate_hs,total_highest_college_degree,percent_graduate_hs,percent_no_college_degree,percent_college_degree,total_3_to_24,total_enrolled_pre_college,total_enrolled_higher_education,total_not_enrolled,total_employable,total_employed,complete_plumbing_occupied_housing,lacking_plumbing_occupied_housing,total_all_races,total_white_non_hispanic,total_african_american,total_native_american,total_asian,total_hispanic,total_other,percent_african_american,percent_native_american,percent_hispanic,percent_urm,total_all_ages,total_0_4,total_5_17,total_18_24,total_25_39,total_40_54,total_55_64,total_65_plus,percent_0_4,percent_5_17,percent_18_24,percent_children,percent_youth,percent_elderly
banked,Lexa,2019,AR,8.50E+07,2253,73.41322681,1654,515,84,24364,17831,2812,2253,559,555,1242,599,258,279,48.22866345,20.77294686,22.46376812,29.5,2.53,5697,3449,603,2115,731,82.5166715,78.80545086,21.19454914,1939,1434,44,461,4023,2055,2253,0,5697,1280,4417,0,0,0,0,77.5320344,0,0,77.5320344,5697,531,1236,481,872,1031,663,883,9.320695103,21.69562928,8.443040197,31.01632438,39.45936458,15.49938564
banked,Kimper,2019,KY,9.63E+07,1606,64.07222914,1029,278,299,36026,23093,1797,1606,191,484,339,163,60,96,48.08259587,17.69911504,28.31858407,29.6,2.29,3675,2594,462,1604,528,82.18966847,79.64533539,20.35466461,983,619,84,280,2904,1567,1597,9,3675,3636,0,0,0,15,24,0,0,0.4081632653,0.4081632653,3675,258,617,206,670,766,574,584,7.020408163,16.78911565,5.605442177,23.80952381,29.41496599,15.89115646
banked,Lansdowne,2019,PA,5.07E+08,6630,45.47511312,3015,2041,1574,267125,178904,7445,6630,815,5845,2781,1312,554,703,47.17727436,19.92089177,25.27867673,155,12.19,16182,11186,736,5442,5008,93.42034686,55.22975148,44.77024852,4295,2775,570,950,12903,9044,6597,33,16182,5532,8821,29,462,550,788,54.51118527,0.1792114695,3.398838215,58.08923495,16182,1124,2508,1364,3506,3327,2341,2012,6.945989371,15.49870226,8.429118774,22.44469163,30.87381041,12.43356816
banked,Kenmore,2019,NY,1.67E+08,2104,35.74144487,752,751,601,73777,42717,2281,2104,177,989,684,322,170,168,47.07602339,24.85380117,24.56140351,30.4,2.21,4649,3435,90,1597,1748,97.37991266,49.11208151,50.88791849,1098,687,260,151,3881,2757,2104,0,4649,4083,390,45,27,54,50,8.388900839,0.9679500968,1.161540116,10.51839105,4649,199,663,352,988,1062,667,718,4.280490428,14.26113143,7.571520757,18.54162185,26.11314261,15.44418154
banked,Middletown,2019,OH,1.50E+09,24164,53.426585,12910,7207,4047,933388,507213,27304,24164,3140,16976,10099,4707,2110,2417,46.60857511,20.89315774,23.93306268,572.6,50.08,61271,41061,5917,25056,10088,85.58973235,75.43167483,24.56832517,17958,11941,1053,4964,47922,28787,24140,24,61271,50313,5627,75,556,1483,3217,9.183790047,0.1224070115,2.42039464,11.7265917,61271,3888,10999,5323,11846,11131,8624,9460,6.345579475,17.95139626,8.687633628,24.29697573,32.98460936,15.43960438
banked,Grand Junction,2019,CO,3.11E+09,42978,46.61222021,20033,13980,8965,1158756,610478,45798,42978,2820,21236,14838,6838,3836,3732,46.08437795,25.85254077,25.15163769,616.2,47.96,103211,70906,6478,36584,27844,90.86396074,60.73110879,39.26889121,28931,17010,5016,6905,83927,52288,42880,98,103211,82522,923,582,1079,14028,4077,0.8942845239,0.5638933835,13.59157454,15.04975245,103211,5993,15655,10657,20331,17238,13870,19467,5.806551627,15.1679569,10.32544981,20.97450853,31.29995834,18.86136168
banked,Litchfield,2019,CT,4.04E+08,3415,31.21522694,1066,915,1434,260053,114975,4136,3415,721,4296,771,352,127,215,45.65499351,16.47211414,27.88586252,86.1,6.89,8147,6261,320,2768,3173,94.88899537,49.3211947,50.6788053,1691,1243,192,256,6991,4083,3407,8,8147,7294,110,0,73,469,201,1.350190254,0,5.756720265,7.106910519,8147,303,1055,528,877,1416,1573,2395,3.719160427,12.94955198,6.48091322,16.66871241,23.14962563,29.39732417
banked,King City,2019,OR,2.38E+08,2926,42.99384826,1258,997,671,58537,31521,3009,2926,83,1257,561,256,111,137,45.63279857,19.78609626,24.42067736,29.7,2.15,6382,5039,295,2389,2355,94.14566382,53.26453661,46.73546339,1155,896,32,227,5361,2640,2926,0,6382,4950,154,91,217,499,471,2.413036666,1.425885302,7.818865559,11.65778753,6382,407,763,173,969,820,926,2324,6.377311188,11.95549984,2.710748982,18.33281103,21.04356001,36.41491695
banked,Kingwood,2019,WV,2.17E+08,3312,47.2826087,1566,1052,694,105471,53161,3801,3312,489,1241,767,348,119,192,45.37157757,15.51499348,25.03259452,57.4,4.94,8365,5827,718,3587,1522,87.67805045,73.8802128,26.1197872,2163,1395,92,676,6653,3997,3308,4,8365,8039,122,0,43,83,78,1.45845786,0,0.9922295278,2.450687388,8365,480,1360,698,1814,1485,941,1587,5.73819486,16.25821877,8.344291692,21.99641363,30.34070532,18.97190675
banked,Echo,2019,OR,1.36E+08,1810,40.44198895,732,681,397,60256,32301,1923,1810,113,1024,577,257,101,189,44.5407279,17.50433276,32.75563258,33.4,2.45,4543,3010,185,1586,1239,93.8538206,58.8372093,41.1627907,1367,879,140,348,3463,2162,1810,0,4543,3799,48,156,37,270,233,1.056570548,3.433854281,5.943209333,10.43363416,4543,295,884,354,825,834,410,941,6.493506494,19.45850759,7.792207792,25.95201409,33.74422188,20.71318512
